Year,Continent,WeightedObesity,Population,Obesity_count
1986,Africa,4.8,558159404.0,26542342
1986,Asia,1.8,2924312158.0,51739371
1986,Europe,13.2,708523999.0,93573158
1986,North America,14.8,398228054.0,58932580
1986,Oceania,13.1,25060771.0,3289592
1986,South America,10.2,273382491.0,27813292
1987,Africa,4.9,574147321.0,28288576
1987,Asia,1.9,2981779241.0,56394100
1987,Europe,13.5,711358868.0,95910313
1987,North America,15.2,403382317.0,61468213
1987,Oceania,13.5,25461744.0,3443593
1987,South America,10.5,278883345.0,29412811
1988,Africa,5.1,590485133.0,30232392
1988,Asia,2.0,3039759216.0,60565935
1988,Europe,13.8,714232840.0,98337190
1988,North America,15.7,408590930.0,64147097
1988,Oceania,13.8,25865358.0,3578958
1988,South America,10.9,284364799.0,31070662
1989,Africa,5.3,607099337.0,32054417
1989,Asia,2.1,3097189197.0,65340440
1989,Europe,14.1,717119167.0,100759318
1989,North America,16.2,414051371.0,67090561
1989,Oceania,14.2,26291558.0,3742490
1989,South America,11.3,289830013.0,32757320
1990,Africa,5.5,623929631.0,34250408
1990,Asia,2.2,3154336091.0,68516659
1990,Europe,14.3,719183101.0,103067190
1990,North America,16.7,419925760.0,70268770
1990,Oceania,14.6,26705070.0,3910935
1990,South America,11.7,295280413.0,34506349
1991,Africa,5.7,640971147.0,36450795
